index,weight,wrongPoints,totalPoints,accAccuracy,accuracy
1,0.5,14,56,0.75,0.75
2,0.5,2,224,0.9285714285714286,0.9910714285714286
3,0.5,0,295,0.9457627118644067,1.0
4,0.5,9,477,0.9475890985324947,0.9811320754716981
5,0.5,13,794,0.9521410579345088,0.9836272040302267
6,0.5,66,1420,0.9267605633802817,0.9535211267605633
7,0.5,0,1498,0.9305740987983978,1.0
8,0.5,9,1830,0.9382513661202185,0.9950819672131147
9,0.5,17,2154,0.9396471680594243,0.9921077065923862
10,0.5,6,2185,0.9377574370709382,0.997254004576659
