index,weight,wrongPoints,totalPoints,accAccuracy,accuracy
1,0.5,16,56,0.7142857142857143,0.7142857142857143
2,0.5,4,224,0.9107142857142857,0.9821428571428571
3,0.5,0,295,0.9322033898305084,1.0
4,0.5,21,477,0.9140461215932913,0.9559748427672956
5,0.5,12,794,0.9332493702770781,0.9848866498740554
6,0.5,284,1420,0.7626760563380282,0.8
7,0.5,6,1498,0.7710280373831776,0.9959946595460614
8,0.5,16,1830,0.8038251366120218,0.9912568306010929
9,0.5,57,2154,0.8068709377901578,0.9735376044568245
10,0.5,1,2185,0.8091533180778032,0.9995423340961098
