index,weight,wrongPoints,totalPoints,accAccuracy,accuracy
1,0.5,16,56,0.7142857142857143,0.7142857142857143
2,0.5,4,224,0.9107142857142857,0.9821428571428571
3,0.5,0,295,0.9322033898305084,1.0
4,0.5,21,477,0.9140461215932913,0.9559748427672956
5,0.5,12,794,0.9332493702770781,0.9848866498740554
6,0.5,283,1420,0.7633802816901408,0.8007042253521126
7,0.5,6,1498,0.7716955941255007,0.9959946595460614
8,0.5,16,1830,0.8043715846994536,0.9912568306010929
9,0.5,57,2154,0.8073351903435468,0.9735376044568245
10,0.5,1,2185,0.8096109839816934,0.9995423340961098
11,0.5,8,2323,0.8174773999139044,0.9965561773568661
12,0.5,18,2411,0.8166735794276234,0.9925342181667358
13,0.5,3,2484,0.82085346215781,0.998792270531401
14,0.5,44,2734,0.8211411850768106,0.9839063643013899
15,0.5,34,2975,0.824201680672269,0.9885714285714285
16,0.5,40,3385,0.8336779911373707,0.9881831610044313
17,0.5,64,3500,0.8208571428571428,0.9817142857142858
18,0.5,7,3688,0.8280911062906724,0.9981019522776573
19,0.5,102,4001,0.8160459885028742,0.9745063734066484
20,0.5,12,4226,0.8230004732607666,0.9971604353999054
21,0.5,20,4526,0.8303137428192665,0.9955810870525851
22,0.5,12,4602,0.8305084745762712,0.9973924380704041
23,0.5,20,4634,0.8273629693569271,0.9956840742339231
24,0.5,37,4836,0.8269230769230769,0.9923490488006617
25,0.5,89,4988,0.8143544506816359,0.9821571772253408
26,0.5,30,5270,0.818595825426945,0.9943074003795066
27,0.5,13,5377,0.8197879858657244,0.9975822949600148
28,0.5,14,5540,0.8225631768953069,0.9974729241877256
29,0.5,44,5907,0.8261384797697647,0.9925512104283054
30,0.5,52,6002,0.8202265911362879,0.9913362212595801
31,0.5,5,6101,0.8223242091460417,0.9991804622193083
32,0.5,79,6304,0.8155139593908629,0.9874682741116751
33,0.5,32,6550,0.8175572519083969,0.9951145038167939
34,0.5,12,6705,0.8199850857568979,0.9982102908277405
35,0.5,34,6893,0.8199622805744958,0.995067459741767
36,0.5,163,7247,0.8062646612391334,0.9775079343176487
37,0.5,17,7385,0.8075829383886256,0.9976980365605959
38,0.5,9,7727,0.8149346447521677,0.9988352530089297
39,0.5,6,7925,0.818801261829653,0.9992429022082019
40,0.5,28,8134,0.8200147528891074,0.9965576592082617
41,0.5,0,8168,0.8207639569049952,1.0
42,0.5,11,8336,0.823056621880998,0.9986804222648752
43,0.5,462,9416,0.79428632115548,0.9509345794392523
44,0.5,208,9707,0.7790254455547543,0.9785721644174307
45,0.5,21,9868,0.7805026347790839,0.9978719092014593
46,0.5,113,10117,0.7747355935554018,0.9888306810319265
47,0.5,1,10156,0.7755021662071682,0.9999015360378102
48,0.5,86,10834,0.781613439172974,0.9920620269521876
49,0.5,135,11236,0.7774118903524386,0.9879850480598078
50,0.5,109,11675,0.7764453961456103,0.9906638115631692
